Seq,Cluster,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,plx,e_plx,u_plx,pmRA*,e_pmRA*,pmDE,e_pmDE,logt,e_logt,RV,s_RV,e_RV,o_RV,N,Ref,SimbadName
2192,FSR_0318         ,329.63,0.046,48.958,0.055,96.108,-4.696,0.343,0.023,1,-4.045,0.232,-3.269,0.163,8.804,0.044,       ,      ,     ,  ,10,MWSC                     ,[FSR2007] 0318           
2193,FSR_0279         ,330.359,0.081,35.237,0.061,87.932,-15.834,0.656,0.036,1,-2.849,0.401,-3.638,0.305,8.665,0.322,-95.58,      ,0.05,1,66,MWSC                     ,[FSR2007] 0279           
2194,FSR_0344         ,330.408,0.082,54.831,0.033,100.054,-0.314,0.478,0.03,1,-2.609,0.196,-2.296,0.148,8.9,      ,       ,      ,     ,  ,85,MWSC                     ,[FSR2007] 0344           
2195,Dolidze_56       ,331.043,0.06,59.885,0.025,103.349,3.534,0.398,0.037,1,-2.887,0.261,-2.152,0.2,8.95,      ,-33.13,      ,0.13,1,38,MWSC                     ,Dolidze 56               
2196,ASCC_117         ,331.371,0.247,62.254,0.122,104.887,5.347,0.145,0.093,0,-2.214,0.068,-1.45,0.056,6.225,      ,       ,      ,     ,  ,111,MWSC                     ,[KPR2005] 117            
2197,NGC_7209         ,331.208,0.134,46.566,0.089,95.507,-7.243,0.813,0.024,1,2.303,0.037,0.263,0.02,8.629,      ,-24.79,      ,0.89,1,43,MWSC                     ,NGC 7209                 
2198,FSR_0341         ,331.406,0.08,53.337,0.047,99.635,-1.863,0.363,0.032,1,-2.602,0.094,-2.281,0.083,9,      ,       ,      ,     ,  ,74,MWSC                     ,[FSR2007] 0341           
2199,Collinder_471    ,331.638,0.27,72.005,0.062,110.867,13.113,0.481,0.035,1,-2.776,0.564,-1.554,0.51,8.8,      ,       ,      ,     ,  ,31,MWSC                     ,Collinder 471            
2200,FSR_0342         ,331.942,0.091,53.102,0.05,99.757,-2.242,0.347,0.021,1,-1.342,0.041,-1.901,0.042,8.275,      ,       ,      ,     ,  ,35,MWSC                     ,[FSR2007] 0342           
2201,FSR_0358         ,332.531,0.237,58.811,0.089,103.336,2.22,0.172,0.127,0,-2.13,0.059,-1.664,0.038,9.3,      ,       ,      ,     ,  ,57,MWSC                     ,[FSR2007] 0358           
2202,NGC_7226         ,332.614,0.148,55.383,0.048,101.399,-0.61,0.215,0.014,1,-3.323,0.096,-2.823,0.074,8.725,0.077,-75.1,      ,0.17,1,29,MWSC                     ,NGC 7226                 
2203,IC_1434          ,332.593,0.105,52.875,0.075,99.945,-2.654,0.285,0.021,1,-3.86,0.015,-3.37,0.011,8.245,0.058,-60.12,0.02,0.07,2,129,MWSC                     ,IC 1434                  
2204,FSR_0364         ,332.671,0.073,60.082,0.046,104.126,3.217,0.265,0.014,1,-2.676,0.153,-2.066,0.13,9.15,      ,-82.98,16.88,2.24,3,57,MWSC                     ,[FSR2007] 0364           
2205,FSR_0354         ,332.795,0.099,57.639,0.052,102.775,1.18,0.357,0.025,1,-2.775,0.249,-2.425,0.185,8,      ,       ,      ,     ,  ,49,MWSC                     ,[FSR2007] 0354           
2206,NGC_7235         ,333.073,0.08,57.262,0.031,102.683,0.785,0.272,0.016,1,-3.722,0.053,-3.057,0.039,7.3,      ,       ,      ,     ,  ,59,MWSC                     ,NGC 7235                 
2207,vdBergh_150      ,332.963,0.145,73.327,0.109,112.002,13.94,0.462,0.034,1,-2.248,0.434,-1.795,0.487,8.8,      ,       ,      ,     ,  ,40,MWSC                     ,Cl VDB  150              
2208,Teutsch_125      ,333.263,0.065,58.975,0.051,103.74,2.137,0.51,0.03,1,-3.241,0.287,-2.798,0.277,9.1,      ,       ,      ,     ,  ,23,MWSC                     ,Teutsch 125              
2209,vdBergh_152      ,333.108,0.18,70.242,0.089,110.192,11.41,0.419,0.027,1,-2.437,0.356,-1.207,0.275,9.295,0.032,       ,      ,     ,  ,56,MWSC                     ,Cl VDB  152              
2210,Teutsch_126      ,333.427,0.073,55.754,0.047,101.988,-0.568,0.405,0.028,1,-2.726,0.181,-2.526,0.133,8.8,      ,-64.13,      ,0.08,1,71,MWSC                     ,Teutsch 126              
2211,PTB_3            ,333.401,0.221,70.03,0.063,110.15,11.179,0.316,0.021,1,-2.458,0.182,-1.366,0.168,9.5,      ,-10.8,      ,0.11,1,73,MWSC                     ,PTB 3                    
2212,NGC_7243         ,333.772,0.318,49.84,0.173,98.818,-5.567,1.126,0.034,1,0.473,0.018,-2.895,0.018,7.965,0.071,-2.9,      ,0.82,1,115,MWSC                     ,NGC 7243                 
2213,NGC_7245         ,333.805,0.114,54.322,0.044,101.36,-1.873,0.28,0.019,1,-3.922,0.018,-3.271,0.013,8.55,      ,-71.76,0.29,0.06,3,83,MWSC                     ,NGC 7245                 
2214,King_9           ,333.911,0.033,54.415,0.034,101.464,-1.831,0.218,0.016,1,-2.085,0.218,-1.138,0.098,9.5,      ,       ,      ,     ,  ,27,MWSC                     ,King 9                   
2215,Kumar_21         ,334.08,0.074,60.108,0.03,104.721,2.841,0.201,0.172,0,-2.36,0.093,-1.592,0.117,7.68,      ,       ,      ,     ,  ,24,MWSC                     ,                         
2216,IC_1442          ,346.528,0.189,51.085,0.13,106.573,-8.411,0.282,0.026,1,-1.908,0.118,-1.669,0.163,7.6,      ,       ,      ,     ,  ,31,MWSC                     ,IC 1442                  
2217,FSR_0369         ,334.183,0.046,60.791,0.03,105.144,3.379,0.314,0.138,0,-2.507,0.292,-1.976,0.193,9.1,      ,-34.16,      ,1.68,1,14,MWSC                     ,[FSR2007] 0369           
2218,Pismis-Moreno_1  ,334.276,0.11,63.252,0.071,106.556,5.398,0.303,0.017,1,-2.174,0.501,-1.583,0.438,7.4,      ,-18.68,      ,2.45,1,64,MWSC                     ,Pismis-Moreno 1          
2219,ASCC_119         ,334.643,0.172,46.86,0.095,97.62,-8.361,0.56,0.028,1,-2.621,0.291,-2.76,0.279,8.791,0.017,       ,      ,     ,  ,51,MWSC                     ,[KPR2005] 119            
2220,NGC_7261         ,335.155,0.173,58.114,0.062,104.082,0.873,0.29,0.022,1,-3.824,0.046,-2.848,0.04,7.5,      ,       ,      ,     ,  ,73,MWSC                     ,NGC 7261                 
2221,Berkeley_94      ,335.726,0.032,55.868,0.022,103.129,-1.185,0.281,0.02,1,-3.413,0.113,-2.968,0.108,7.45,      ,       ,      ,     ,  ,28,MWSC                     ,Berkeley 94              
2222,Teutsch_53       ,336.101,0.021,60.41,0.039,105.726,2.546,0.286,0.013,1,-2.581,0.673,-1.748,0.604,8.85,      ,-68.5,      ,0.08,1,45,MWSC                     ,Teutsch 53               
2223,PTB_2            ,336.462,0.18,71.507,0.197,111.844,11.842,0.356,0.032,1,-3.362,0.358,-3.578,0.186,9.3,      ,       ,      ,     ,  ,17,MWSC                     ,PTB 2                    
2224,NGC_7281         ,336.266,0.12,57.814,0.101,104.417,0.303,0.424,0.018,1,-2.009,0.136,-1.502,0.082,7.86,      ,       ,      ,     ,  ,23,MWSC                     ,NGC 7281                 
2225,NGC_7296         ,337.003,0.043,52.309,0.034,101.875,-4.6,0.368,0.023,1,-2.887,0.041,-2.732,0.049,8.675,0.031,       ,      ,     ,  ,36,MWSC                     ,NGC 7296                 
2226,Berkeley_95      ,337.065,0.088,59.152,0.037,105.476,1.222,0.271,0.019,1,-3.332,0.031,-2.361,0.028,8.55,      ,       ,      ,     ,  ,64,MWSC                     ,Berkeley 95              
2227,Teutsch_76       ,337.184,0.065,61.634,0.027,106.818,3.31,0.245,0.115,0,-2.681,0.172,-1.569,0.136,6.9,      ,       ,      ,     ,  ,23,MWSC                     ,Teutsch 76               
2228,Berkeley_96      ,337.475,0.061,55.409,0.034,103.727,-2.095,0.264,0.018,1,-2.99,0.146,-2.632,0.172,7,      ,       ,      ,     ,  ,36,MWSC                     ,Berkeley 96              
2229,ASCC_120         ,337.653,0.153,57.21,0.104,104.737,-0.601,0.284,0.017,1,-2.882,0.204,-2.078,0.142,7.4,      ,       ,      ,     ,  ,57,MWSC                     ,[KPR2005] 120            
2230,ASCC_121         ,337.856,0.153,54.874,0.117,103.639,-2.666,0.415,0.017,1,-2.198,0.141,-1.782,0.132,6.4,      ,       ,      ,     ,  ,78,MWSC                     ,[KPR2005] 121            
2231,FSR_0357         ,337.721,0.059,53.968,0.027,103.106,-3.404,0.221,0.013,1,-3.068,0.124,-2.312,0.141,8.835,0.01,       ,      ,     ,  ,30,MWSC                     ,[FSR2007] 0357           
2232,FSR_0405         ,338.215,0.123,66.682,0.062,109.816,7.407,0.418,0.025,1,-2.692,0.184,-1.498,0.126,9.3,      ,       ,      ,     ,  ,47,MWSC                     ,[FSR2007] 0405           
2233,FSR_0365         ,338.337,0.069,55.529,0.054,104.208,-2.241,0.224,0.015,1,-2.383,0.196,-1.816,0.115,8.905,0.055,-45.78,      ,0.23,1,33,MWSC                     ,[FSR2007] 0365           
2234,FSR_0330         ,338.534,0.122,43.348,0.094,98.066,-12.796,0.467,0.035,1,-2.876,0.2,-3.124,0.181,9.135,      ,18.78,      ,0.43,1,75,MWSC                     ,[FSR2007] 0330           
2235,FSR_0331         ,338.679,0.115,43.437,0.094,98.205,-12.775,0.436,0.021,1,-2.966,0.299,-3.267,0.207,9.3,      ,-29.09,2.67,0.31,8,76,MWSC                     ,[FSR2007] 0331           
2236,FSR_0377         ,338.651,0.027,58.296,0.025,105.747,0.065,0.315,0.018,1,-2.947,0.344,-1.779,0.196,7.7,      ,       ,      ,     ,  ,27,MWSC                     ,[FSR2007] 0377           
2237,Teutsch_39       ,339.193,0.12,37.743,0.032,95.509,-17.855,1.964,0.089,1,-1.83,0.254,-5.969,0.137,7.7,      ,       ,      ,     ,  ,12,MWSC                     ,Teutsch 39               
2238,FSR_0398         ,339.048,0.191,64.129,0.056,108.824,5.026,1.044,0.018,1,-3.137,0.026,-1.148,0.025,7.7,      ,       ,      ,     ,  ,19,MWSC                     ,[FSR2007] 0398           
2239,FSR_0362         ,339.767,0.062,53.632,0.039,103.986,-4.299,0.312,0.023,1,-2.704,0.169,-1.926,0.131,9.009,0.028,       ,      ,     ,  ,54,MWSC                     ,[FSR2007] 0362           
2240,Berkeley_97      ,339.846,0.045,58.999,0.023,106.634,0.371,0.338,0.02,1,-2.715,0.086,-1.856,0.055,7.55,      ,       ,      ,     ,  ,27,MWSC                     ,Berkeley 97              
2241,Czernik_42       ,339.906,0.055,59.917,0.026,107.106,1.159,0.66,0.059,1,-3.03,0.197,-2.184,0.131,6.7,      ,       ,      ,     ,  ,50,MWSC                     ,Czernik 42               
2242,FSR_0381         ,340.527,0.134,58.347,0.05,106.631,-0.371,0.274,0.019,1,-3.157,0.041,-2.201,0.047,8.25,      ,       ,      ,     ,  ,31,MWSC                     ,[FSR2007] 0381           
2243,FSR_0385         ,340.57,0.086,58.913,0.046,106.921,0.116,0.228,0.015,1,-2.699,0.187,-1.863,0.22,8.85,      ,       ,      ,     ,  ,18,MWSC                     ,[FSR2007] 0385           
2244,ASCC_123         ,340.285,1.712,54.173,0.732,104.523,-3.963,4.297,0.045,1,12.337,0.091,-1.574,0.063,8.191,      ,-4.14,0.56,0.1,8,55,Cantat-Gaudin et al. 2018,[KPR2005] 123            
2245,Berkeley_98      ,340.634,0.115,52.4,0.046,103.849,-5.63,0.254,0.015,1,-1.355,0.022,-3.233,0.022,9.32,      ,-68.17,      ,0.48,1,48,MWSC                     ,Berkeley 98              
2246,FSR_0449         ,341.469,0.251,75.814,0.047,115.344,14.826,0.416,0.031,1,-1.698,0.423,-0.264,0.342,8.058,      ,       ,      ,     ,  ,11,MWSC                     ,[FSR2007] 0449           
2247,Teutsch_54       ,341.865,0.06,59.781,0.031,107.91,0.575,0.293,0.024,1,-2.955,0.219,-1.981,0.16,9.15,      ,       ,      ,     ,  ,28,MWSC                     ,Teutsch 54               
2248,ASCC_124         ,341.922,0.189,46.321,0.117,101.698,-11.385,1.412,0.039,1,0.366,0.033,-1.643,0.046,8.195,      ,-11.22,0.45,0.51,3,47,MWSC                     ,[KPR2005] 124            
2249,FSR_0428         ,342.365,0.164,69.077,0.058,112.367,8.746,0.304,0.024,1,-2.34,0.177,-1.238,0.16,9.23,0.022,-105.39,      ,0.04,1,51,MWSC                     ,[FSR2007] 0428           
2250,FSR_0429         ,342.722,0.093,69.09,0.08,112.488,8.7,0.304,0.013,1,-1.714,0.594,-0.477,0.541,8.23,      ,       ,      ,     ,  ,31,MWSC                     ,[FSR2007] 0429           
2251,FSR_0384         ,342.916,0.065,56.12,0.03,106.754,-2.943,0.495,0.025,1,-3.23,0.125,-1.824,0.038,6.85,      ,       ,      ,     ,  ,17,MWSC                     ,[FSR2007] 0384           
2252,King_18          ,343.024,0.083,58.291,0.039,107.771,-1.024,0.329,0.019,1,-2.826,0.065,-2.183,0.05,8.525,      ,-62.3,0.13,0.08,3,44,MWSC                     ,King 18                  
2253,FSR_0404         ,343.356,0.103,62.069,0.04,109.584,2.295,0.334,0.151,0,-2.995,0.211,-1.786,0.153,8.4,      ,       ,      ,     ,  ,33,MWSC                     ,[FSR2007] 0404           
2254,FSR_0406         ,343.43,0.102,62.578,0.019,109.838,2.738,1.229,0.083,1,-1.602,0.217,-2.192,0.37,7.3,      ,-70.06,      ,0.4,1,23,MWSC                     ,[FSR2007] 0406           
2255,NGC_7419         ,343.625,0.079,60.81,0.039,109.15,1.106,0.294,0.021,1,-2.757,0.042,-1.604,0.039,7.5,      ,-71.77,      ,0.06,1,99,MWSC                     ,NGC 7419                 
2256,King_10          ,343.724,0.098,59.17,0.066,108.482,-0.392,0.288,0.019,1,-2.733,0.034,-2.089,0.031,7.825,      ,-63.05,      ,0.02,1,126,MWSC                     ,King 10                  
2257,NGC_7423         ,343.78,0.069,57.091,0.033,107.608,-2.279,0.265,0.019,1,-1.287,0.063,-1.307,0.034,8.901,0.038,-38.46,      ,0.07,1,47,MWSC                     ,NGC 7423                 
2258,FSR_0394         ,343.784,0.033,58.722,0.029,108.316,-0.81,0.299,0.025,1,-3.694,0.054,-1.324,0.054,9.2,      ,       ,      ,     ,  ,36,MWSC                     ,[FSR2007] 0394           
2259,NGC_7429         ,343.94,0.107,59.952,0.047,108.919,0.266,0.399,0.029,1,-2.717,0.306,-1.773,0.322,8.08,      ,       ,      ,     ,  ,44,MWSC                     ,NGC 7429                 
2260,NGC_7438         ,344.399,0.19,54.393,0.105,106.764,-4.866,0.739,0.03,1,1.411,0.057,-0.801,0.05,8.8,0.028,-26.98,      ,0.16,1,17,MWSC                     ,NGC 7438                 
2261,FSR_0423         ,344.343,0.168,65.483,0.072,111.458,5.185,0.203,0.103,0,-2.487,0.064,-1.095,0.063,9.1,      ,       ,      ,     ,  ,39,MWSC                     ,[FSR2007] 0423           
2262,BDSB_37          ,344.774,0.052,59.465,0.024,109.093,-0.354,0.399,0.024,1,-3.361,0.394,-2.417,0.268,8.6,      ,       ,      ,     ,  ,27,MWSC                     ,                         
2263,FSR_0401         ,345.229,0.072,59.711,0.038,109.405,-0.227,0.332,0.023,1,-3.267,0.139,-2.129,0.12,8.6,      ,       ,      ,     ,  ,76,MWSC                     ,[FSR2007] 0401           
2264,FSR_0413         ,345.191,0.083,62.904,0.035,110.708,2.689,0.833,0.047,1,-1.658,0.538,-1.572,0.507,8.25,      ,       ,      ,     ,  ,20,MWSC                     ,[FSR2007] 0413           
2265,FSR_0414         ,345.487,0.036,62.999,0.048,110.87,2.72,0.538,0.044,1,-1.913,0.57,-1.462,0.312,8.725,      ,       ,      ,     ,  ,23,MWSC                     ,[FSR2007] 0414           
2266,FSR_0416         ,345.476,0.152,63.078,0.046,110.897,2.794,0.316,0.029,1,-2.545,0.433,-1.21,0.34,7.85,      ,       ,      ,     ,  ,25,MWSC                     ,[FSR2007] 0416           
2267,FSR_0418         ,346.116,0.14,63.134,0.052,111.185,2.728,0.386,0.026,1,-2.349,0.218,-1.071,0.172,8.85,      ,       ,      ,     ,  ,28,MWSC                     ,[FSR2007] 0418           
2268,FSR_0371         ,346.33,0.113,48.248,0.091,105.296,-10.957,0.456,0.032,1,-2.342,0.14,-2.212,0.14,8.7,      ,-89.88,      ,0.11,1,77,MWSC                     ,[FSR2007] 0371           
2269,ASCC_126         ,346.509,0.197,51.092,0.128,106.564,-8.399,0.282,0.026,1,-1.874,0.123,-1.686,0.156,7.451,      ,       ,      ,     ,  ,32,MWSC                     ,[KPR2005] 126            
2270,Pfleiderer_3     ,347.025,0.063,60.882,0.029,110.689,0.49,0.158,0.123,0,-1.815,0.041,-1.287,0.05,9,      ,       ,      ,     ,  ,39,MWSC                     ,Pfleiderer 3             
2271,King_19          ,347.042,0.107,60.525,0.05,110.558,0.158,0.361,0.023,1,-4.776,0.016,-2.752,0.018,9.1,      ,-57.14,1.79,0.22,4,64,MWSC                     ,King 19                  
2272,ASCC_127         ,347.132,1.178,64.923,0.507,112.304,4.2,2.649,0.045,1,7.484,0.029,-1.832,0.034,7.82,      ,-10.48,0.27,0.18,16,122,Cantat-Gaudin et al. 2018,[KPR2005] 127            
2273,NGC_7510         ,347.771,0.101,60.583,0.04,110.911,0.075,0.317,0.02,1,-3.642,0.024,-2.211,0.017,7.7,      ,63.74,      ,0.35,1,98,MWSC                     ,NGC 7510                 
2274,NGC_7538         ,348.479,0.08,61.486,0.054,111.566,0.785,0.489,0.028,1,-2.943,0.326,-1.659,0.177,6.3,      ,       ,      ,     ,  ,13,MWSC                     ,NGC 7538                 
2275,FSR_0417         ,348.479,0.09,59.865,0.048,110.97,-0.723,0.353,0.026,1,-3.022,0.197,-1.67,0.126,8.275,      ,       ,      ,     ,  ,46,MWSC                     ,[FSR2007] 0417           
2276,FSR_0425         ,348.652,0.07,61.281,0.037,111.568,0.564,0.395,0.024,1,-2.667,0.415,-1.487,0.243,8.7,0.035,       ,      ,     ,  ,36,MWSC                     ,[FSR2007] 0425           
2277,FSR_0422         ,348.785,0.03,60.806,0.037,111.455,0.098,0.451,0.033,1,-2.701,0.462,-1.547,0.265,8.664,0.027,       ,      ,     ,  ,35,MWSC                     ,[FSR2007] 0422           
2278,Markarian_50     ,348.806,0.054,60.43,0.032,111.328,-0.256,0.444,0.028,1,-3.654,0.181,-2.39,0.129,7.1,      ,       ,      ,     ,  ,20,MWSC                     ,Markarian 50             
2279,FSR_0430         ,348.837,0.069,64.145,0.038,112.69,3.201,0.339,0.016,1,-1.946,0.278,-0.923,0.189,8.88,      ,       ,      ,     ,  ,25,MWSC                     ,[FSR2007] 0430           
2280,PTB_4            ,349.908,0.27,70.105,0.093,115.219,8.621,0.355,0.03,1,-2.025,0.429,-0.836,0.283,7,      ,       ,      ,     ,  ,26,MWSC                     ,PTB 4                    
2281,ASCC_128         ,350.252,0.161,54.706,0.11,110.03,-5.885,0.511,0.029,1,-1.925,0.211,-1.527,0.176,8.454,0.016,       ,      ,     ,  ,65,MWSC                     ,[KPR2005] 128            
2282,BDSB_44          ,350.195,0.131,61.197,0.065,112.233,0.222,0.328,0.022,1,-2.812,0.175,-1.523,0.126,6.87,      ,       ,      ,     ,  ,41,MWSC                     ,                         
2283,Berkeley_99      ,350.305,0.142,71.798,0.049,115.94,10.161,0.197,0.015,1,-3.063,0.051,-0.445,0.03,9.348,      ,-60.32,      ,0.05,1,45,MWSC                     ,Berkeley 99              
2284,Dolidze_46       ,350.5,0.087,55.74,0.059,110.519,-4.961,0.45,0.031,1,-2.073,0.389,-1.479,0.201,8.412,      ,       ,      ,     ,  ,51,MWSC                     ,Dolidze 46               
2285,NGC_7654         ,351.189,0.231,61.606,0.093,112.818,0.448,0.608,0.028,1,-1.875,0.013,-1.204,0.011,7.9,      ,-32.16,      ,0.01,1,248,MWSC                     ,NGC 7654                 
2286,Czernik_43       ,351.481,0.147,61.376,0.061,112.875,0.185,0.373,0.02,1,-3.979,0.03,-2.151,0.024,7.76,0.314,       ,      ,     ,  ,52,MWSC                     ,Czernik 43               
2287,Berkeley_100     ,351.511,0.045,63.774,0.035,113.666,2.45,0.294,0.02,1,-2.883,0.294,-1.081,0.185,7.432,      ,       ,      ,     ,  ,34,MWSC                     ,Berkeley 100             
2288,ASCC_129         ,352.016,0.204,55.62,0.139,111.289,-5.356,0.324,0.024,1,-2.317,0.128,-1.235,0.063,9.05,      ,-63.01,      ,0.21,1,125,MWSC                     ,[KPR2005] 129            
2289,FSR_0427         ,352.386,0.09,56.937,0.059,111.901,-4.17,0.428,0.025,1,-1.679,0.293,-1.342,0.162,8.6,      ,       ,      ,     ,  ,49,MWSC                     ,[FSR2007] 0427           
2290,FSR_0442         ,352.514,0.136,63.433,0.063,113.981,1.985,0.699,0.037,1,1.28,0.033,-2.608,0.021,9,      ,-26.22,      ,0.12,1,67,MWSC                     ,[FSR2007] 0442           
2291,NGC_7686         ,352.388,0.09,49.168,0.056,109.435,-11.546,0.442,0.025,1,-2.43,0.386,-1.973,0.279,9.053,0.054,-100.19,      ,0.26,1,31,MWSC                     ,NGC 7686                 
2292,Skiff_J2330+60.2 ,352.534,0.138,60.254,0.044,113.006,-1.042,0.314,0.021,1,-3.339,0.105,-2.037,0.065,8.4,      ,       ,      ,     ,  ,44,MWSC                     ,[KPS2012] MWSC 3735      
2293,FSR_0435         ,352.698,0.044,59.778,0.114,112.937,-1.52,0.489,0.032,1,-0.583,0.431,-0.516,0.413,8.35,      ,       ,      ,     ,  ,10,MWSC                     ,[FSR2007] 0435           
2294,Berkeley_101     ,353.209,0.114,64.205,0.052,114.508,2.626,0.27,0.022,1,-1.841,0.048,-0.982,0.051,8.86,      ,       ,      ,     ,  ,83,MWSC                     ,Berkeley 101             
2295,Stock_11         ,352.871,0.078,55.843,0.046,111.819,-5.294,0.474,0.02,1,-2.345,0.328,-1.196,0.181,9.086,      ,-39.04,      ,0.19,1,78,MWSC                     ,Stock 11                 
2296,King_20          ,353.295,0.083,58.478,0.037,112.836,-2.851,0.528,0.028,1,-2.699,0.027,-2.636,0.021,8.648,0.05,       ,      ,     ,  ,47,MWSC                     ,King 20                  
2297,Czernik_44       ,353.397,0.093,61.957,0.045,113.92,0.455,0.366,0.025,1,-2.834,0.194,-1.234,0.156,7.5,      ,       ,      ,     ,  ,36,MWSC                     ,Czernik 44               
2298,Stock_12         ,353.894,0.308,52.682,0.169,111.442,-8.488,2.295,0.043,1,8.514,0.03,-1.87,0.032,8.45,      ,-2.66,0.53,0.26,4,43,MWSC                     ,Stock 12                 
2299,NGC_7708         ,354.036,0.321,72.895,0.087,117.388,10.839,0.266,0.01,1,-2.029,0.184,-0.025,0.167,8.76,      ,-96.28,      ,0.47,1,37,MWSC                     ,NGC 7708                 
2300,FSR_0464         ,354.462,0.212,70.665,0.056,116.864,8.665,0.261,0.021,1,-1.545,0.127,0.03,0.085,9.145,0.034,-72.66,4.62,0.71,2,43,MWSC                     ,[FSR2007] 0464           
2301,Aveni-Hunter_1   ,354.262,0.288,48.466,0.232,110.419,-12.589,0.255,0.107,0,-0.248,0.161,-0.897,0.131,8.186,0.173,       ,      ,     ,  ,12,MWSC                     ,Cl AH 1                  
2302,SAI_149          ,354.485,0.102,60.564,0.057,114.018,-1.029,0.328,0.022,1,-3.894,0.047,-1.645,0.034,8.4,      ,-67.12,0.25,0.16,2,32,Cantat-Gaudin et al. 2018,SAI 149                  
2303,Berkeley_102     ,354.738,0.077,56.615,0.04,113.042,-4.859,0.223,0.015,1,-1.911,0.191,-0.753,0.153,9.14,      ,-21.7,      ,0.14,1,30,MWSC                     ,Berkeley 102             
2304,BDSB_46          ,354.921,0.053,61.934,0.029,114.6,0.229,0.514,0.023,1,-3.266,0.426,-1.574,0.146,7.25,      ,       ,      ,     ,  ,21,MWSC                     ,                         
2305,FSR_0441         ,355.549,0.086,58.539,0.026,113.985,-3.125,0.247,0.017,1,-1.959,0.101,-1.118,0.077,8.65,      ,       ,      ,     ,  ,37,MWSC                     ,[FSR2007] 0441           
2306,FSR_0443         ,355.895,0.117,59.055,0.059,114.294,-2.674,0.485,0.032,1,-2.776,0.295,-1.59,0.227,8.8,0.02,       ,      ,     ,  ,58,MWSC                     ,[FSR2007] 0443           
2307,Stock_17         ,355.931,0.077,62.15,0.042,115.114,0.311,0.367,0.025,1,-3.704,0.116,-1.487,0.066,7,      ,       ,      ,     ,  ,34,MWSC                     ,Stock 17                 
2308,Berkeley_103     ,356.283,0.086,59.313,0.059,114.552,-2.476,0.49,0.031,1,-2.078,0.299,-1.321,0.153,8.7,      ,-37.04,      ,0.33,1,79,MWSC                     ,Berkeley 103             
2309,FSR_0448         ,356.82,0.076,60.884,0.046,115.204,-1.022,0.377,0.028,1,-2.581,0.102,-2.034,0.068,8.55,      ,-50.92,      ,0.11,1,46,MWSC                     ,[FSR2007] 0448           
2310,Negueruela_1     ,356.865,0.095,63.205,0.043,115.795,1.223,0.307,0.016,1,-2.811,0.095,-1.262,0.059,6.98,      ,       ,      ,     ,  ,46,MWSC                     ,Cl Negueruela 1          
2311,King_11          ,356.891,0.267,68.627,0.081,117.141,6.477,0.311,0.02,1,-3.383,0.02,-0.669,0.014,9.32,      ,-24.59,0.08,0.03,8,112,MWSC                     ,King 11                  
2312,Teutsch_23       ,356.958,0.041,63.01,0.021,115.788,1.024,0.324,0.023,1,-3.056,0.107,-1.403,0.075,7.1,      ,       ,      ,     ,  ,24,MWSC                     ,Teutsch 23               
2313,King_21          ,357.482,0.076,62.717,0.027,115.95,0.682,0.348,0.021,1,-3.406,0.224,-1.856,0.216,7.8,      ,       ,      ,     ,  ,46,MWSC                     ,King 21                  
2314,PTB_9            ,357.49,0.245,68.032,0.087,117.212,5.846,1.04,0.027,1,1.472,0.019,3.963,0.018,9.07,0.02,-44.32,0.1,0.03,16,138,MWSC                     ,PTB 9                    
2315,Pfleiderer_4     ,357.747,0.126,62.312,0.058,115.974,0.26,0.167,0.136,0,-1.683,0.081,-0.484,0.071,9.65,      ,       ,      ,     ,  ,48,MWSC                     ,Pfleiderer 4             
2316,FSR_0465         ,357.77,0.127,66.2,0.042,116.887,4.04,0.236,0.022,1,-2.073,0.148,-0.308,0.092,9.09,0.02,       ,      ,     ,  ,63,MWSC                     ,[FSR2007] 0465           
2317,FSR_0451         ,357.845,0.077,60.854,0.05,115.682,-1.169,0.341,0.021,1,-3.22,0.079,-1.941,0.028,8.7,      ,-76.16,      ,0.04,1,46,MWSC                     ,[FSR2007] 0451           
2318,ASCC_130         ,358.18,0.147,62.451,0.072,116.201,0.35,0.336,0.023,1,-2.38,0.108,-0.855,0.056,7.241,0.148,       ,      ,     ,  ,105,MWSC                     ,[KPR2005] 130            
2319,PTB_6            ,358.154,0.219,68.221,0.081,117.498,5.972,0.302,0.025,1,-2.617,0.108,-0.29,0.144,8.932,0.034,       ,      ,     ,  ,60,MWSC                     ,PTB 6                    
2320,BDSB_47          ,358.232,0.029,60.472,0.016,115.78,-1.585,0.587,0.033,1,-2.286,0.462,-1.552,0.47,8.94,0.049,       ,      ,     ,  ,17,MWSC                     ,                         
2321,King_12          ,358.259,0.069,61.957,0.039,116.126,-0.141,0.33,0.019,1,-3.442,0.059,-1.45,0.039,7.145,      ,       ,      ,     ,  ,40,MWSC                     ,King 12                  
2322,Kronberger_55    ,358.253,0.033,62.785,0.016,116.309,0.667,0.622,0.034,1,-2.226,0.752,-0.801,0.311,7.38,      ,       ,      ,     ,  ,18,MWSC                     ,Kronberger 55            
2323,Harvard_21       ,358.552,0.057,61.751,0.024,116.215,-0.372,0.377,0.038,1,-2.763,0.271,-1.19,0.158,8.175,      ,       ,      ,     ,  ,35,MWSC                     ,Harvard 21               
